Job Title,Company Name,Location,Content,Link,Date
Multi-Skilled Plant Operator,Lucas Total Contract Solutions,Australia,Lucas Total Contract Solutions are currently seeking experienced and reliable multi-skilled operators to join our team at our Warrego Project.,https://www.seek.com.au/job/82342375?type=standard&ref=search-standalone&origin=cardTitle#sol=c8eee4874936bdcd9b670b02f22141c69684c973,
Plant Operators - 657/623 Scraper & CAT777,Lucas Total Contract Solutions,Australia,Lucas TCS have commenced recruitment for our new contract at Prominent Hill and we are seeking skilled Scraper & Dump Truck drivers.,https://www.seek.com.au/job/82593669?type=standard&ref=search-standalone&origin=cardTitle#sol=11111e4d4f23440b312030c628f95c4fee60cb59,
Sr Manager - Global Solutions Engineering,Tata Communications Transformation Services PTE LTD,Australia,"�Design and deliver complex solutions as per customer requirements. Work with various stakeholders including sales team, products team, engineering...",https://www.seek.com.au/job/82690274?type=standard&ref=search-standalone&origin=cardTitle#sol=7d1a143b1b3826e2d8b846a2eca26b5218b545fc,
Senior Associate Consultant (Technical Business Analyst),Infosys BPM limited,Australia,"We are searching for candidate with banking industry experience, worked as Tech BA with SQL / Python in workflow generations.",https://www.seek.com.au/job/82253504?type=standard&ref=search-standalone&origin=cardTitle#sol=44fa44c75054c3f20273361fa26beae34e78f5c9,
Business analyst,Infosys Management Consulting Pty Ltd,Australia,Technical Business Analyst- Melbourne,https://www.seek.com.au/job/82701498?type=standard&ref=search-standalone&origin=cardTitle#sol=8495b4182cbd5418287439564c55e39bb52bab9f,
Senior Associate Consultant (Business Analyst – Fraud and Scam),Infosys BPM limited,Australia,"We are looking for an experienced business analyst with strong banking industry background, specialised in Fraud and Scam.",https://www.seek.com.au/job/82406539?type=standard&ref=search-standalone&origin=cardTitle#sol=9a887157032d89f315a8be240c135ec5a8e7b608,
Accountant - Banking / Treasury Management (Process Specialist),Infosys BPM limited,Australia,"We are looking for an accountant with minimum 3+ years experience in Banking and Treasury to join our team, servicing a high profile client.",https://www.seek.com.au/job/82733929?type=standard&ref=search-standalone&origin=cardTitle#sol=f5f09922f9bf5e26a3d7c8d54aae817705adeffd,
Senior Associate Consultant (Business Analyst-Payroll System),Infosys BPM limited,Australia,We are seeking a highly skilled Functional Business Analyst to join our team and support the Payroll Replacement Project for Workday system.,https://www.seek.com.au/job/82220873?type=standard&ref=search-standalone&origin=cardTitle#sol=143d65da243751d89131f8c238b77071d38500a0,
Senior Technical business analyst,Infosys Management Consulting Pty Ltd,Australia,Senior Technical Business Analyst- Perth - Fulltime,https://www.seek.com.au/job/82701089?type=standard&ref=search-standalone&origin=cardTitle#sol=be5b0b1af6142773a91e90bf4567f9659c822c07,
SAP EC Architect,Paxus,Australia,This high-profile client is seeking for SAP EC Architect to join their Team.,https://www.seek.com.au/job/82760986?type=standard&ref=search-standalone&origin=cardTitle#sol=6f0195e0f3d425545760f13853f37ba42812b576,
